option_type,strike,creation,maturity,mark_price,last_price,mark_iv,index_price
call,63000.0,2024-05-23 18:11:00,2024-05-25 08:00:00,0.0852,0.079,100.0,68777.9
put,63000.0,2024-05-23 18:11:00,2024-05-25 08:00:00,0.0001,0.0001,100.0,68777.9
put,64000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0002,0.0003,89.28,68777.9
put,65000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0003,0.0009,77.7,68777.55
call,65500.0,2024-05-23 18:11:00,2024-05-25 08:00:00,0.0491,0.0415,68.96,68777.55
put,65500.0,2024-05-23 18:11:00,2024-05-25 08:00:00,0.0003,0.0003,68.96,68777.55
call,66000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0419,0.034,60.14,68777.55
put,66000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0003,0.0019,60.14,68777.55
call,66500.0,2024-05-23 17:51:00,2024-05-25 08:00:00,0.0347,0.0265,53.59,68777.55
put,66500.0,2024-05-23 17:51:00,2024-05-25 08:00:00,0.0004,0.0006,53.62,68778.49
put,67000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0007,0.007,50.9,68778.49
put,67500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0009,0.007,43.64,68778.49
call,68000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0142,0.003,38.82,68778.77
put,68000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0016,0.0012,38.82,68778.77
call,68500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0085,0.0125,35.29,68778.77
put,68500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0031,0.0085,35.29,68778.77
call,69000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0041,0.0034,32.92,68777.55
put,69000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.006,0.0105,32.99,68780.22
call,69500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.002,0.0006,34.98,68780.22
put,69500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0111,0.0135,34.98,68780.22
call,70000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0008,0.0006,36.43,68780.22
put,70000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0173,0.017,36.43,68780.22
call,70500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0004,0.0005,40.3,68780.57
put,70500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0241,0.038,40.3,68780.57
call,71000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0003,0.0002,45.95,68780.57
call,71500.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0003,0.0017,54.36,68780.57
call,72000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0002,0.0003,56.41,68781.27
put,72000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0456,0.0465,56.41,68781.27
call,73000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0,0.0001,56.41,68781.27
put,73000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.06,0.0585,56.41,68781.27
call,74000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0,0.002,56.41,68781.27
put,74000.0,2024-05-22 08:01:00,2024-05-25 08:00:00,0.0745,0.0865,56.41,68781.27
put,62000.0,2024-05-23 18:06:00,2024-05-26 08:00:00,0.0001,0.0003,71.0,68782.02
put,63000.0,2024-05-23 13:40:00,2024-05-26 08:00:00,0.0002,0.0003,63.56,68782.02
