option_type,strike,creation,maturity,mark_price,last_price,mark_iv,index_price
call,3400.0,2024-05-22 11:54:00,2024-05-25 08:00:00,0.0879,0.15,106.49,3724.94
put,3400.0,2024-05-22 11:54:00,2024-05-25 08:00:00,0.0002,0.0065,106.49,3724.91
call,3450.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0748,0.1385,106.49,3724.91
put,3450.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0005,0.008,106.49,3724.91
put,3500.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0003,0.0025,84.91,3724.69
put,3550.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0005,0.0004,74.87,3724.69
call,3600.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0348,0.055,62.34,3724.62
put,3600.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0008,0.0021,62.34,3724.62
put,3625.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.001,0.009,56.75,3724.7
put,3650.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0018,0.0039,55.78,3724.81
put,3675.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0032,0.02,55.67,3724.72
put,3700.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0053,0.0195,55.64,3724.93
call,3725.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0088,0.035,55.66,3725.19
put,3725.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0082,0.0132,55.66,3725.19
call,3750.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0054,0.0166,53.11,3725.19
put,3750.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0116,0.0161,53.11,3725.19
call,3775.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0037,0.0055,56.04,3725.12
put,3775.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0165,0.0216,56.04,3725.12
call,3800.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0023,0.0014,57.15,3725.12
put,3800.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0218,0.0335,57.15,3725.12
call,3825.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0015,0.0036,59.91,3725.18
put,3825.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0277,0.034,59.91,3725.18
call,3850.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.001,0.0024,63.52,3725.18
put,3850.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.034,0.037,63.52,3725.18
call,3875.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0008,0.0021,67.69,3725.15
call,3900.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0006,0.0015,72.48,3725.15
call,3925.0,2024-05-23 11:39:00,2024-05-25 08:00:00,0.0005,0.0016,77.79,3725.24
call,3950.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0003,0.001,79.87,3725.33
call,4000.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0004,0.0012,97.34,3725.33
call,4050.0,2024-05-22 08:00:01,2024-05-25 08:00:00,0.0002,0.0003,97.96,3725.29
call,4100.0,2024-05-22 08:41:00,2024-05-25 08:00:00,0.0002,0.0006,108.3,3725.46
put,4100.0,2024-05-22 08:41:00,2024-05-25 08:00:00,0.1001,0.1081,108.3,3725.46
call,4200.0,2024-05-23 12:09:00,2024-05-25 08:00:00,0.0002,0.0004,131.52,3725.67
put,3500.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0005,0.01,55.22,3725.89
put,3550.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0009,0.0022,51.09,3726.19
put,3600.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0019,0.0014,48.05,3726.19
call,3650.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.026,0.0205,46.21,3726.1
call,3675.0,2024-05-23 17:54:00,2024-05-26 08:00:00,0.021,0.0175,46.21,3726.41
put,3675.0,2024-05-23 17:54:00,2024-05-26 08:00:00,0.0057,0.019,46.21,3726.41
call,3700.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0167,0.0145,45.88,3726.76
put,3700.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.008,0.012,45.88,3726.76
call,3725.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0132,0.0243,47.04,3726.76
put,3725.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0112,0.0145,47.12,3726.91
call,3750.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0094,0.0125,44.66,3726.91
put,3750.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.014,0.0175,44.66,3726.91
put,3775.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0181,0.0285,44.82,3727.08
call,3800.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0051,0.0075,46.07,3727.08
put,3800.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.023,0.031,46.0,3727.18
call,3825.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0036,0.0024,46.49,3727.18
put,3825.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0282,0.0345,46.49,3727.18
call,3850.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0026,0.0055,47.36,3726.88
put,3850.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0339,0.037,47.36,3726.88
call,3875.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0019,0.0425,48.97,3726.88
call,3900.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0014,0.0026,50.4,3726.9
call,3925.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0011,0.0022,52.65,3726.93
call,3950.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0008,0.0018,53.76,3727.01
call,4000.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0005,0.002,57.29,3727.01
call,4050.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0004,0.0014,64.49,3727.16
put,4050.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0853,0.1015,64.49,3727.16
call,4100.0,2024-05-23 08:01:00,2024-05-26 08:00:00,0.0002,0.001,65.56,3727.19
call,4150.0,2024-05-23 09:09:00,2024-05-26 08:00:00,0.0002,0.0013,72.42,3727.19
put,4150.0,2024-05-23 09:09:00,2024-05-26 08:00:00,0.1118,0.1075,72.42,3727.19
call,4250.0,2024-05-23 12:09:00,2024-05-26 08:00:00,0.0003,0.002,89.71,3727.27
put,3350.0,2024-05-24 08:13:00,2024-05-27 08:00:00,0.0003,0.0015,61.49,3727.48
put,3450.0,2024-05-24 08:00:03,2024-05-27 08:00:00,0.0007,0.0012,55.27,3728.16
put,3550.0,2024-05-24 08:00:03,2024-05-27 08:00:00,0.0019,0.0014,48.44,3728.22
put,3575.0,2024-05-24 08:00:03,2024-05-27 08:00:00,0.0026,0.0018,47.99,3728.23
call,2200.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.4118,0.404,120.87,3726.32
put,2400.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0001,0.0011,118.22,3726.32
call,2500.0,2024-05-18 12:18:00,2024-05-31 08:00:00,0.3317,0.34,113.37,3726.32
put,2500.0,2024-05-18 12:18:00,2024-05-31 08:00:00,0.0002,0.0013,113.37,3726.32
call,2600.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.305,0.297,112.38,3726.3
put,2600.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0003,0.0016,112.38,3726.3
call,2700.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.2782,0.2725,100.66,3726.3
put,2800.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0003,0.0006,89.39,3726.44
call,2900.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.225,0.2245,89.39,3726.44
put,2900.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0006,0.0006,89.39,3726.44
call,3000.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.1985,0.366,82.22,3726.44
put,3000.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0008,0.001,82.2,3726.39
put,3100.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0012,0.0013,76.64,3726.39
call,3200.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.146,0.151,70.49,3726.39
put,3200.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0018,0.0021,70.49,3726.39
call,3300.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.1205,0.14,66.62,3726.66
put,3300.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0031,0.0026,66.62,3726.66
call,3400.0,2024-02-21 08:00:01,2024-05-31 08:00:00,0.0949,0.1005,59.18,3726.66
